bibtex_key;title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria;created_at;updated_at;created_by;updated_by;status;comments
;What do developers want? an advisor approach for developer priorities;Sharma, Vibhu Saujanya and Mehra, Rohit and Kaulgud, Vikrant;;2017;Snowballing backward (XRaSE: towards virtually tangible software using augmented reality);78–81;;On a typical work day, a software developer is swamped to know answers to a multitude of questions to gain diverse insights into the project environment, spanning multiple categories including code, quality and guidance. Due to client mandates, the project environment employs a lot of heterogeneous tools, thus making the relevant information retrieval process fairly complex and therefore it is important to know which insights are most important to the developer. In this paper, we present results from a survey we conducted on a pool of 27 developers from the development team in the delivery center, by asking them to rate a set of 25 Questions, prioritising them as most, moderate and least important to be answered automatically during the software evolution process. We also introduce the concept of Smart Advisor for developers, an intelligence augmentation framework that employs domain and knowledge modelling and in-process analytics to automatically provide important insights and answer developer queries, using a conversational and interactive user interface.;;10.1109/CHASE.2017.14;https://doi.org/10.1109/CHASE.2017.14;;;developer priorities, in-process project insights, smart advisor, software developer survey;IEEE Press;;;;"We can’t access the paper or the paper refers to only to an abstract ";45464;45464;annazenaide;annazenaide;Rejected;
;Augmented reality trends in education: a systematic review of research and applications;Bacca Acosta, Jorge Luis and Baldiris Navarro, Silvia Margarita and Fabregat Gesa, Ramon and Graf, Sabine and others;Journal of Educational Technology and Society, 2014, vol. 17, n{\'u}m. 4, p. 133-149;2014;Snowballing backward (Using augmented reality in software engineering education?);;;None;;;;;;;International Forum of Educational Technology and Society;;;;Outras revisões/mapeamentos;45457;45464;annazenaide;annazenaide;Rejected;
;3D visualization of software architectures;Feijs, Loe and De Jong, Roel;Communications of the ACM;1998;Snowballing backward (Using augmented reality in software engineering education?);73--78;41;None;;;;;;;ACM New York, NY, USA;;;;Use of AR unrelated to the teaching of Software Engineering;45457;45464;annazenaide;annazenaide;Rejected;
;Usage and usefulness of technical software documentation: An industrial case study;Garousi, Golara and Garousi-Yusifo{\u{g}}lu, Vahid and Ruhe, Guenther and Zhi, Junji and Moussavi, Mahmoud and Smith, Brian;Information and software technology;2015;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);664--682;57;None;;;;;;;Elsevier;;;;Outras revisões/mapeamentos;45457;45464;annazenaide;annazenaide;Rejected;
;Cuboidmatrix: Exploring dynamic structural connections in software components using space-time cube;Schneider, Teseo and Tymchuk, Yuriy and Salgado, Ronie and Bergel, Alexandre;;2016;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);116--125;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45457;45464;annazenaide;annazenaide;Rejected;
;Experiencing and programming the ENIAC in VR;Yigitbas, Enes and Tejedor, Christopher Bernal and Engels, Gregor;;2020;Snowballing backward (Augmented and Virtual Reality Object Repository for Rapid Prototyping);505--506;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45457;45464;annazenaide;annazenaide;Rejected;
;A context-aware virtual reality first aid training application;"Yigitbas, Enes and Heind{\""o}rfer, Joshua and Engels, Gregor";;2019;Snowballing backward (Augmented and Virtual Reality Object Repository for Rapid Prototyping);885--888;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45457;45464;annazenaide;annazenaide;Rejected;
;Why it's quick to be square: modelling new and existing hierarchical menu designs;"Ahlstr{\""o}m, David and Cockburn, Andy and Gutwin, Carl and Irani, Pourang";;2010;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;1371--1380;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Towards a definition and identification of learning obstacles in higher software engineering education;"Reuter, Rebecca and Hauser, Florian and Gold-Veerkamp, Carolin and Mottok, J{\""u}rgen and Abke, J{\""o}rg";;2017;Snowballing backward (Using augmented reality in software engineering education?);10259--10267;;None;;;;;;;;;;;Envolve o ensino de Engenharia de Software, mas não aborda o uso da Realidade Aumentada;45457;45464;annazenaide;annazenaide;Rejected;
;Give your ideas some legs: the positive effect of walking on creative thinking.;Oppezzo, Marily and Schwartz, Daniel L;Journal of experimental psychology: learning, memory, and cognition;2014;Snowballing backward (XRaSE: towards virtually tangible software using augmented reality);1142;40;None;;;;;;;American Psychological Association;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Diagrams based on structural object perception;Irani, Pourang and Ware, Colin;;2000;Snowballing backward (XRaSE: towards virtually tangible software using augmented reality);61--67;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Ubii: Physical world interaction through augmented reality;Lin, Sikun and Cheng, Hao Fei and Li, Weikai and Huang, Zhanpeng and Hui, Pan and Peylo, Christoph;IEEE Transactions on Mobile Computing;2016;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;872--885;16;None;;;;;;;IEEE;;;;Use of AR unrelated to the teaching of Software Engineering;45463;45464;annazenaide;annazenaide;Rejected;
;Depth-based 3D gesture multi-level radial menu for virtual object manipulation;Davis, Matthew M and Gabbard, Joseph L and Bowman, Doug A and Gracanin, Dennis;;2016;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;169--170;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Designer's augmented reality toolkit, ten years later: implications for new media authoring tools;Gandy, Maribeth and MacIntyre, Blair;;2014;Snowballing backward (Augmented and Virtual Reality Object Repository for Rapid Prototyping);627--636;;None;;;;;;;;;;;Use of AR unrelated to the teaching of Software Engineering;45457;45464;annazenaide;annazenaide;Rejected;
;SceneCtrl: Mixed reality enhancement via efficient scene editing;Yue, Ya-Ting and Yang, Yong-Liang and Ren, Gang and Wang, Wenping;;2017;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;427--436;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Ringtext: Dwell-free and hands-free text entry for mobile head-mounted displays using head motions;Xu, Wenge and Liang, Hai-Ning and Zhao, Yuxuan and Zhang, Tianyu and Yu, Difeng and Monteiro, Diego;IEEE transactions on visualization and computer graphics;2019;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;1991--2001;25;None;;;;;;;IEEE;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;MRTouch: Adding touch input to head-mounted mixed reality;Xiao, Robert and Schwarz, Julia and Throm, Nick and Wilson, Andrew D and Benko, Hrvoje;IEEE transactions on visualization and computer graphics;2018;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;1653--1660;24;None;;;;;;;IEEE;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Supporting menu design with radial layouts;Samp, Krystian and Decker, Stefan;;2010;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;155--162;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Endoscopic camera control by head movements for thoracic surgery;Reilink, Rob and de Bruin, Gart and Franken, Michel and Mariani, Massimo A and Misra, Sarthak and Stramigioli, Stefano;;2010;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;510--515;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Comparison of a speech-based and a pie-menu-based interaction metaphor for application control;Pick, Sebastian and Puika, Andrew S and Kuhlen, Torsten W;;2017;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;381--382;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Wearable augmented reality system using gaze interaction;Park, Hyung Min and Lee, Seok Han and Choi, Jong Soo;;2008;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;175--176;;None;;;;;;;;;;;Use of AR unrelated to the teaching of Software Engineering;45463;45464;annazenaide;annazenaide;Rejected;
